year,population,WatUse_af
1990,42918,7695.197399999999
1991,44313.019468678176,7945.324390733997
1992,45727.13412036294,8198.875147781075
1993,47154.72330570363,8454.841888712659
1994,48590.1663753496,8712.216831100182
1995,50027.842679950205,8969.99219251507
1996,51462.1315701548,9227.160190528755
1997,52887.41239661272,9482.713042712661
1998,54298.06450997333,9735.642966638217
1999,55688.46726088597,9984.942179876854
2000,57053,10229.6029
2001,58385.50014407969,10468.520175833488
2002,59677.637374349026,10700.20038122078
2003,60920.53943814692,10923.052721259743
2004,62105.334082812275,11135.48640104824
2005,63223.149055684,11335.91062568414
2006,64265.112104101005,11522.734600265308
2007,65222.3509754022,11694.367529889614
2008,66085.99341692649,11849.21861965492
2009,66847.1671760128,11985.697074659092
2010,67497,12102.212099999999
2011,68122,12214.274599999999
2012,68944,12361.659199999998
2013,69569,12473.721699999998
2014,70330,12610.169
2015,71420,12805.606
2016,72957,13081.1901
2017,74252,13313.3836
2018,75109,13467.043699999998
2019,75836,13597.394799999998
2020,74394,13338.8442
2021,75373,13514.3789
2022,76955,13798.0315
2023,78537,14081.684099999999
2024,80119,14365.3367
2025,81701,14648.9893
2026,83283,14932.641899999999
2027,84865,15216.294499999998
2028,86447,15499.9471
2029,88029,15783.599699999999
